id,url,deal_score,tco_cost_per_km,avg_annual_tco,make,model,year,price,mileage,composite_score,estimated_resale_after_period,scraped_date,tco_purchase_tax,tco_total_depreciation_over_period,tco_avg_annual_depreciation,tco_estimated_resale_value_after_period,tco_total_fuel_cost_over_period,tco_avg_annual_fuel_cost,tco_fuel_price_used_per_l,tco_fuel_consumption_l_100km_used,tco_total_maintenance_over_period,tco_avg_annual_maintenance,tco_total_insurance_over_period,tco_avg_annual_insurance,tco_listing_price,tco_total_tco_plus_tax_over_period,tco_avg_annual_tco_plus_tax,tco_tco_calculation_years,tco_reliability_qir,tco_reliability_defect_rate,tco_remaining_lifespan_km
mazda_mazda6_2010_5300.0_21,https://www.facebook.com/marketplace/item/1476669430365244/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,12.92,0.8730853733333334,$13096.28,mazda,mazda6,2010,$5300.00,265000,0.773333333,$3129.60,2025-05-17,$689.00,$2170.40,$434.08,$3129.60,$10260.00,$2052.00,$1.52,9.0,$43362.00,$8672.40,$9000.00,$1800.00,$5300.00,$65481.40,$13096.28,5.0,$88.00,16.0,35000.0
honda_civic_2009_3600.0_23,https://www.facebook.com/marketplace/item/2095014574346815/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,12.86,0.8736724800000002,$13105.09,honda,civic,2009,$3600.00,279000,0.773333333,$2125.76,2025-05-17,$468.00,$1474.24,$294.85,$2125.76,$8208.00,$1641.60,$1.52,7.2,$46375.20,$9275.04,$9000.00,$1800.00,$3600.00,$65525.44,$13105.09,5.0,$88.00,16.0,21000.0
toyota_camry_2003_2900.0_79,https://www.facebook.com/marketplace/item/542740095574421/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,12.76,0.8747490533333333,$13121.24,toyota,camry,2003,$2900.00,237000,0.772083333,$1712.42,2025-05-17,$377.00,$1187.58,$237.52,$1712.42,$9576.00,$1915.20,$1.52,8.4,$45465.60,$9093.12,$9000.00,$1800.00,$2900.00,$65606.18,$13121.24,5.0,$94.00,19.0,63000.0
toyota_camry_2005_4500.0_308,https://www.facebook.com/marketplace/item/978332277796315/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,12.72,0.8752506000000001,$13128.76,toyota,camry,2005,$4500.00,255000,0.802916667,$2657.21,2025-05-17,$585.00,$1842.79,$368.56,$2657.21,$9576.00,$1915.20,$1.52,8.4,$44640.00,$8928.00,$9000.00,$1800.00,$4500.00,$65643.80,$13128.76,5.0,$96.00,17.0,45000.0
toyota_corolla_2009_5000.0_69,https://www.facebook.com/marketplace/item/1473895216911243/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,12.66,0.8758606666666666,$13137.91,toyota,corolla,2009,$5000.00,335000,0.823333333,$2952.45,2025-05-17,$650.00,$2047.55,$409.51,$2952.45,$7752.00,$1550.40,$1.52,6.8,$46240.00,$9248.00,$9000.00,$1800.00,$5000.00,$65689.55,$13137.91,5.0,$98.00,16.0,0.0
toyota_4runner_2012_18500.0_172,https://www.facebook.com/marketplace/item/1506535736978279/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,12.58,0.8765458,$13148.19,toyota,4runner,2012,$18500.00,295000,0.787083333,$10924.07,2025-05-17,$2405.00,$7575.93,$1515.19,$10924.07,$8664.00,$1732.80,$1.52,7.6,$38096.00,$7619.20,$9000.00,$1800.00,$18500.00,$65740.93,$13148.19,5.0,$97.00,19.0,5000.0
toyota_camry_2003_4000.0_51,https://www.facebook.com/marketplace/item/4106667639615645/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,12.55,0.8768592000000001,$13152.89,toyota,camry,2003,$4000.00,233000,0.772083333,$2361.96,2025-05-17,$520.00,$1638.04,$327.61,$2361.96,$9576.00,$1915.20,$1.52,8.4,$45030.40,$9006.08,$9000.00,$1800.00,$4000.00,$65764.44,$13152.89,5.0,$94.00,19.0,67000.0
honda_accord_2008_3900.0_113,https://www.facebook.com/marketplace/item/1329005784832622/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,12.5,0.8773825200000002,$13160.74,honda,accord,2008,$3900.00,249000,0.794166667,$2302.91,2025-05-17,$507.00,$1597.09,$319.42,$2302.91,$9804.00,$1960.80,$1.52,8.6,$44895.60,$8979.12,$9000.00,$1800.00,$3900.00,$65803.69,$13160.74,5.0,$88.00,14.0,51000.0
honda_cr v_2009_6300.0_266,https://www.facebook.com/marketplace/item/991542539861826/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,12.42,0.8781988399999999,$13172.98,honda,cr v,2009,$6300.00,260000,0.807916667,$3720.09,2025-05-17,$819.00,$2579.91,$515.98,$3720.09,$9006.00,$1801.20,$1.52,7.9,$44460.00,$8892.00,$9000.00,$1800.00,$6300.00,$65864.91,$13172.98,5.0,$97.00,17.0,40000.0
toyota_corolla_2009_4999.0_18,https://www.facebook.com/marketplace/item/3075637912583491/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,12.3,0.8794374732,$13191.56,toyota,corolla,2009,$4999.00,338000,0.823333333,$2951.86,2025-05-17,$649.87,$2047.14,$409.43,$2951.86,$7752.00,$1550.40,$1.52,6.8,$46508.80,$9301.76,$9000.00,$1800.00,$4999.00,$65957.81,$13191.56,5.0,$98.00,16.0,0.0
mazda_mazda3_2010_1500.0_11,https://www.facebook.com/marketplace/item/702950758929064/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,12.16,0.8807422000000001,$13211.13,mazda,mazda3,2010,$1500.00,292000,0.773333333,$885.74,2025-05-17,$195.00,$614.26,$122.85,$885.74,$10260.00,$2052.00,$1.52,9.0,$45986.40,$9197.28,$9000.00,$1800.00,$1500.00,$66055.67,$13211.13,5.0,$88.00,16.0,8000.0
honda_civic_2007_1200.0_314,https://www.facebook.com/marketplace/item/1119048026642895/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,12.05,0.8817521600000001,$13226.28,honda,civic,2007,$1200.00,266000,0.748333333,$708.59,2025-05-17,$156.00,$491.41,$98.28,$708.59,$8208.00,$1641.60,$1.52,7.2,$48276.00,$9655.20,$9000.00,$1800.00,$1200.00,$66131.41,$13226.28,5.0,$83.00,16.0,34000.0
honda_fit_2015_4000.0_155,https://www.facebook.com/marketplace/item/553304414254334/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,11.95,0.8827738666666668,$13241.61,honda,fit,2015,$4000.00,400000,0.762916667,$2361.96,2025-05-17,$520.00,$1638.04,$327.61,$2361.96,$9006.00,$1801.20,$1.52,7.9,$46044.00,$9208.80,$9000.00,$1800.00,$4000.00,$66208.04,$13241.61,5.0,$88.00,17.0,0.0
